,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Team,Loss?,Losses,Expected Losses
78,52,Friday May 24,boxscore,CHW,,BAL,L,4,6,,15-37,5,19.5,Cano,Brebbia,Kimbrel,2:57,N,18831.0,0.04,---,,2024 CHW,1,37,39
79,53,Saturday May 25,boxscore,CHW,,BAL,L,3,5,,15-38,5,20.5,Tate,Kopech,Pérez,2:51,D,22283.0,0.03,----,,2024 CHW,1,38,40
80,54,Sunday May 26,boxscore,CHW,,BAL,L,1,4,,15-39,5,21.5,Bradish,Crochet,Kimbrel,2:31,D,14992.0,0.02,-----,,2024 CHW,1,39,41
81,55,Monday May 27,boxscore,CHW,,TOR,L,1,5,,15-40,5,21.5,Bassitt,Nastrini,,2:40,D,14993.0,0.01,------,,2024 CHW,1,40,42
82,56,Tuesday May 28,boxscore,CHW,,TOR,L,2,7,,15-41,5,22.5,Gausman,Woodford,,2:48,N,11852.0,0.01,-------,,2024 CHW,1,41,43
83,57,Wednesday May 29,boxscore,CHW,,TOR,L,1,3,,15-42,5,22.5,Richards,Flexen,Romano,2:31,N,11599.0,0.01,--------,,2024 CHW,1,42,43
84,58,Friday May 31,boxscore,CHW,@,MIL,L,5,12,,15-43,5,23.5,Paredes,Soroka,,3:02,N,30931.0,0.0,---------,,2024 CHW,1,43,44
85,59,Saturday Jun 1,boxscore,CHW,@,MIL,L-wo,3,4,10.0,15-44,5,24.5,Milner,Kopech,,2:45,D,36017.0,0.01,----------,,2024 CHW,1,44,45
86,60,Sunday Jun 2,boxscore,CHW,@,MIL,L,3,6,,15-45,5,24.5,Peralta,Nastrini,Paredes,2:29,D,30442.0,0.0,-----------,,2024 CHW,1,45,46
87,61,Tuesday Jun 4,boxscore,CHW,@,CHC,L,6,7,,15-46,5,25.5,Little,Leasure,Neris,2:28,N,38397.0,0.0,------------,,2024 CHW,1,46,46
88,62,Wednesday Jun 5,boxscore,CHW,@,CHC,L-wo,6,7,,15-47,5,26.0,Neris,Kopech,,2:55,N,40073.0,0.0,-------------,,2024 CHW,1,47,47
89,63,Thursday Jun 6,boxscore,CHW,,BOS,L,2,14,,15-48,5,26.0,Houck,Woodford,,2:39,N,15568.0,0.0,--------------,,2024 CHW,1,48,48
90,64,Friday Jun 7,boxscore,CHW,,BOS,W,7,2,,16-48,5,25.0,Crochet,Criswell,Cannon,2:32,N,19684.0,0.0,+,,2024 CHW,0,48,48
91,65,Saturday Jun 8,boxscore,CHW,,BOS,W,6,1,,17-48,5,25.0,Banks,Bello,,2:51,D,26248.0,0.0,++,,2024 CHW,0,48,48
92,66,Sunday Jun 9,boxscore,CHW,,BOS,L,4,6,10.0,17-49,5,26.0,Jansen,Soroka,Booser,3:22,D,21055.0,0.0,-,,2024 CHW,1,49,49
93,67,Monday Jun 10,boxscore,CHW,@,SEA,L-wo,4,8,,17-50,5,26.5,Stanek,Leasure,,2:41,N,23027.0,0.0,--,,2024 CHW,1,50,50
94,68,Tuesday Jun 11,boxscore,CHW,@,SEA,L,3,4,,17-51,5,27.5,Thornton,Brebbia,Stanek,2:32,N,20005.0,0.0,---,,2024 CHW,1,51,51
95,69,Wednesday Jun 12,boxscore,CHW,@,SEA,L-wo,1,2,10.0,17-52,5,27.5,Thornton,Wilson,,2:33,N,23312.0,0.0,----,,2024 CHW,1,52,51
96,70,Thursday Jun 13,boxscore,CHW,@,SEA,W,3,2,10.0,18-52,5,27.0,Kopech,Muñoz,Banks,2:28,N,25567.0,0.0,+,,2024 CHW,0,52,52
97,71,Friday Jun 14,boxscore,CHW,@,ARI,L,1,7,,18-53,5,28.0,Nelson,Flexen,,2:19,N,23700.0,0.0,-,,2024 CHW,1,53,53
98,72,Saturday Jun 15,boxscore,CHW,@,ARI,W,9,2,,19-53,5,27.0,Fedde,Vieira,,2:57,N,38494.0,0.0,+,,2024 CHW,0,53,53
99,73,Sunday Jun 16,boxscore,CHW,@,ARI,L,5,12,,19-54,5,27.0,Montgomery,Thorpe,,2:49,D,37694.0,0.0,-,,2024 CHW,1,54,54
100,74,Tuesday Jun 18,boxscore,CHW,,HOU,W,2,0,,20-54,5,26.0,Cannon,Valdez,Brebbia,2:02,N,16763.0,0.0,+,,2024 CHW,0,54,54
101,75,Wednesday Jun 19,boxscore,CHW,,HOU,L,1,4,,20-55,5,27.0,Brown,Crochet,Hader,2:20,N,14124.0,0.0,-,,2024 CHW,1,55,55
102,76,Thursday Jun 20,boxscore,CHW,,HOU,L,3,5,,20-56,5,28.0,Scott,Wilson,Hader,2:50,D,14435.0,0.0,--,,2024 CHW,1,56,56
103,77,Friday Jun 21,boxscore,CHW,@,DET,L,1,2,,20-57,5,29.0,Flaherty,Fedde,Foley,2:06,N,24938.0,0.0,---,,2024 CHW,1,57,57
104,78,Saturday Jun 22,boxscore,CHW,@,DET,W,5,1,,21-57,5,29.0,Thorpe,Maeda,,2:43,D,29269.0,0.0,+,,2024 CHW,0,57,57
105,79,Sunday Jun 23,boxscore,CHW,@,DET,L,2,11,,21-58,5,30.0,Olson,Cannon,,2:45,D,22975.0,0.0,-,,2024 CHW,1,58,58
106,80,Monday Jun 24,boxscore,CHW,,LAD,L,0,3,,21-59,5,31.0,Hudson,Wilson,Vesia,2:28,N,25070.0,0.0,--,,2024 CHW,1,59,59
107,81,Tuesday Jun 25,boxscore,CHW,,LAD,L,3,4,,21-60,5,32.0,Petersen,Flexen,Phillips,2:49,N,23662.0,0.0,---,,2024 CHW,1,60,60
108,82,Wednesday Jun 26,boxscore,CHW,,LAD,L,0,4,,21-61,5,32.0,Stone,Fedde,,2:02,N,36225.0,0.0,----,,2024 CHW,1,61,61
109,83,Thursday Jun 27,boxscore,CHW,,ATL,W,1,0,,22-61,5,31.0,Shuster,Sale,Kopech,2:14,D,12656.0,0.0,+,,2024 CHW,0,61,62
110,84,Friday Jun 28,boxscore,CHW,,COL,W,5,3,,23-61,5,30.0,Thorpe,Hudson,Kopech,2:18,N,24422.0,0.0,++,,2024 CHW,0,61,62
111,85,Saturday Jun 29,boxscore,CHW,,COL,W,11,3,,24-61,5,30.0,Banks,Quantrill,,2:36,D,21490.0,0.0,+++,,2024 CHW,0,61,61
112,86,Sunday Jun 30,boxscore,CHW,,COL,L,4,5,14.0,24-62,5,30.0,Beeks,Soroka,,3:25,D,19334.0,0.0,-,,2024 CHW,1,62,62
113,87,Tuesday Jul 2,boxscore,CHW,@,CLE,L-wo,6,7,,24-63,5,31.0,Clase,Kopech,,2:25,N,25654.0,0.0,--,,2024 CHW,1,63,62
114,88,Wednesday Jul 3,boxscore,CHW,@,CLE,W,8,2,,25-63,5,30.0,Fedde,Williams,,2:35,N,37151.0,0.0,+,,2024 CHW,0,63,62
115,89,Thursday Jul 4,boxscore,CHW,@,CLE,L,4,8,,25-64,5,31.0,Lively,Shuster,,2:45,D,29404.0,0.0,-,,2024 CHW,1,64,63
116,90,Friday Jul 5,boxscore,CHW,@,MIA,W,3,2,,26-64,5,30.0,Thorpe,Hoeing,Kopech,2:57,N,10136.0,0.0,+,,2024 CHW,0,64,64
117,91,Saturday Jul 6,boxscore,CHW,@,MIA,L,3,4,,26-65,5,31.0,Brazobán,Soroka,Scott,2:35,D,13409.0,0.0,-,,2024 CHW,1,65,64
