Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
133,Sunday Sep 4,boxscore,BOS,@,NYY,L,2,8,,37-96,8,56.0,MacFayden,Welch,,2:02,D,10000,.00,----,
134,Monday Sep 5 (1),boxscore,BOS,@,WSH,L,2,6,,37-97,8,58.0,Crowder,Durham,,1:54,D,,.00,-----,
135,Monday Sep 5 (2),boxscore,BOS,@,WSH,L,3,9,,37-98,8,58.0,Marberry,Weiland,,2:01,D,10000,.00,------,
136,Thursday Sep 8,boxscore,BOS,@,CHW,L-wo,3,4,10,37-99,8,59.0,Lyons,Kline,,1:41,D,,.00,-------,
137,Friday Sep 9,boxscore,BOS,@,CHW,W,9,6,10,38-99,8,57.5,Kline,Gaston,,2:09,D,8000,.00,+,
138,Saturday Sep 10,boxscore,BOS,@,CHW,W,6,3,,39-99,8,58.0,Durham,Kimsey,,1:54,D,,.00,++,
139,Sunday Sep 11 (1),boxscore,BOS,@,SLB,L,1,7,,39-100,8,57.5,Stewart,Weiland,,1:29,D,,.00,-,
140,Sunday Sep 11 (2),boxscore,BOS,@,SLB,W,8,3,,40-100,8,57.5,Andrews,Hebert,,1:50,D,2500,.00,+,1932-09-12 (Schedule change)
141,Tuesday Sep 13,boxscore,BOS,@,SLB,L,4,9,,40-101,8,59.0,Hadley,Welch,,1:43,D,1000,.00,-,
142,Wednesday Sep 14,boxscore,BOS,@,CLE,L,0,9,,40-102,8,60.0,Harder,Rhodes,,1:40,D,,.00,--,
143,Thursday Sep 15,boxscore,BOS,@,CLE,L,2,7,,40-103,8,60.0,Hudlin,Durham,,1:48,D,,.00,---,
144,Friday Sep 16,boxscore,BOS,@,CLE,W,6,2,,41-103,8,60.0,Andrews,Brown,,1:51,D,,.00,+,
145,Saturday Sep 17,boxscore,BOS,@,DET,L,0,5,,41-104,8,61.0,Uhle,Gallagher,,1:37,D,2000,.00,-,
146,Sunday Sep 18,boxscore,BOS,@,DET,L,5,6,,41-105,8,61.5,Whitehill,McNaughton,,1:59,D,,.00,--,
147,Monday Sep 19,boxscore,BOS,@,DET,W,5,4,,42-105,8,61.0,Kline,Bridges,Weiland,1:51,D,,.00,+,
148,Tuesday Sep 20,boxscore,BOS,,WSH,L,1,4,,42-106,8,61.5,Weaver,Andrews,,1:38,D,1000,.00,-,
149,Wednesday Sep 21 (1),boxscore,BOS,,WSH,L,0,1,10,42-107,8,62.0,Coffman,Rhodes,Brown,1:58,D,,.00,--,1932-06-03 (Rain)
150,Wednesday Sep 21 (2),boxscore,BOS,,WSH,L,2,3,,42-108,8,62.0,Marberry,Weiland,Brown,1:50,D,700,.00,---,
151,Thursday Sep 22,boxscore,BOS,,WSH,L,2,4,,42-109,8,63.0,Crowder,Durham,,1:37,D,1000,.00,----,
152,Friday Sep 23,boxscore,BOS,,NYY,L,0,3,,42-110,8,64.0,Brown,Kline,,1:39,D,6000,.00,-----,
153,Saturday Sep 24,boxscore,BOS,,NYY,L,2,8,,42-111,8,65.0,Devens,Gallagher,,1:49,D,7000,.00,------,
154,Sunday Sep 25,boxscore,BOS,,NYY,W,8,3,,43-111,8,64.0,Andrews,Allen,,1:47,D,7000,.00,+,
