Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
124,Monday Aug 20 (2),boxscore,NYM,,PIT,L,3,6,,30-94,10,51.0,McBean,Miller,Face,2:31,N,8214,.00,------------,
125,Tuesday Aug 21 (1),boxscore,NYM,,PIT,L,6,8,,30-95,10,51.0,Olivo,Craig,Face,3:35,D,,.00,-------------,
126,Tuesday Aug 21 (2),boxscore,NYM,,PIT,W-wo,5,4,,31-95,10,51.0,Miller,Face,,2:37,D,4184,.00,+,1962-07-18 (Rain)
127,Wednesday Aug 22,boxscore,NYM,,SFG,W,5,4,,32-95,10,50.0,MacKenzie,Larsen,Craig,2:51,N,33569,.00,++,
128,Thursday Aug 23,boxscore,NYM,,SFG,L,1,2,10,32-96,10,51.0,Marichal,Jackson,,3:04,D,18815,.00,-,
129,Friday Aug 24,boxscore,NYM,,LAD,W,6,3,,33-96,10,50.0,Hook,Drysdale,,3:11,N,39741,.00,+,
130,Saturday Aug 25,boxscore,NYM,,LAD,L,2,8,,33-97,10,51.0,Perranoski,Craig,,3:13,D,21065,.00,-,
131,Sunday Aug 26,boxscore,NYM,,LAD,L,5,16,,33-98,10,52.0,Richert,Anderson,Ortega,3:22,D,26818,.00,--,
132,Tuesday Aug 28 (1),boxscore,NYM,@,PHI,W,2,0,,34-98,10,52.5,Jackson,Short,,2:25,D,,.00,+,1962-06-05 (Rain)
133,Tuesday Aug 28 (2),boxscore,NYM,@,PHI,L,1,10,,34-99,10,52.5,Bennett,Miller,,2:55,N,6572,.00,-,
134,Wednesday Aug 29,boxscore,NYM,@,PHI,L-wo,2,3,10,34-100,10,53.5,McLish,Hook,,2:46,N,4822,.00,--,
135,Thursday Aug 30,boxscore,NYM,@,PHI,L,7,8,,34-101,10,53.5,Baldschun,Miller,,3:10,N,5722,.00,---,
136,Friday Aug 31,boxscore,NYM,@,STL,L,2,4,,34-102,10,54.5,Jackson,Anderson,Shantz,3:06,N,11347,.00,----,
137,Saturday Sep 1,boxscore,NYM,@,STL,L,5,10,,34-103,10,55.5,Washburn,Daviault,McDaniel,3:12,N,7961,.00,-----,
138,Sunday Sep 2,boxscore,NYM,@,STL,W &H,4,3,,35-103,10,55.5,Jackson,Shantz,,2:44,D,9169,.00,+,
139,Monday Sep 3 (1),boxscore,NYM,@,PIT,L,0,2,,35-104,10,56.0,Friend,Hook,,2:21,D,,.00,-,
140,Monday Sep 3 (2),boxscore,NYM,@,PIT,L,4,5,,35-105,10,56.0,McBean,Craig,Face,2:47,D,14289,.00,--,
141,Tuesday Sep 4,boxscore,NYM,@,PIT,L,1,5,,35-106,10,57.0,Haddix,Anderson,,2:10,N,4364,.00,---,
142,Friday Sep 7,boxscore,NYM,@,HOU,L,2,4,,35-107,10,56.0,Golden,Jackson,McMahon,2:28,N,6208,.00,----,
143,Saturday Sep 8 (1),boxscore,NYM,@,HOU,L-wo,3,4,,35-108,10,57.5,Kemmerer,Anderson,,2:50,D,1638,.00,-----,1962-06-13 (Rain)
144,Saturday Sep 8 (2),boxscore,NYM,@,HOU,L-wo,5,6,10,35-109,10,57.5,Umbricht,Craig,,3:20,N,6568,.00,------,
145,Sunday Sep 9,boxscore,NYM,@,HOU,T,7,7,8,35-109,10,58.0,,,,3:07,D,3630,.00,------,
146,Monday Sep 10,boxscore,NYM,,MLN,L,2,5,,35-110,10,59.0,Cloninger,Miller,,2:44,N,5381,.00,-------,
147,Friday Sep 14,boxscore,NYM,,CIN,W-wo,10,9,,36-110,10,60.0,Craig,Klippstein,,3:35,N,7791,.00,+,
148,Saturday Sep 15,boxscore,NYM,,CIN,L,6,9,,36-111,10,61.0,Purkey,Hook,Maloney,3:01,D,8157,.00,-,
149,Sunday Sep 16,boxscore,NYM,,CIN,W,8,2,,37-111,10,60.0,Craig,Jay,,2:20,D,10884,.00,+,
150,Tuesday Sep 18 (1),boxscore,NYM,,HOU,L,2,6,,37-112,10,60.0,Johnson,Jackson,,2:18,N,,.00,-,1962-06-24 (Rain)
151,Tuesday Sep 18 (2),boxscore,NYM,,HOU,L,6,8,,37-113,10,60.0,Drott,Foss,Umbricht,3:10,N,3670,.00,--,
152,Thursday Sep 20 (1),boxscore,NYM,,HOU,L,2,7,,37-114,10,61.5,Golden,Hook,Kemmerer,2:30,D,,.00,---,
153,Thursday Sep 20 (2),boxscore,NYM,,HOU,L,4,5,12,37-115,10,61.5,Kemmerer,Daviault,,3:29,D,1481,.00,----,1962-06-24 (Rain)
154,Friday Sep 21,boxscore,NYM,,CHC,W,4,1,,38-115,10,60.5,Cisco,Ellsworth,,2:53,N,3582,.00,+,
155,Saturday Sep 22,boxscore,NYM,,CHC,L,2,9,,38-116,10,61.5,Toth,Jackson,,2:42,D,3744,.00,-,
156,Sunday Sep 23,boxscore,NYM,,CHC,W-wo,2,1,,39-116,10,60.5,Craig,Brewer,,3:04,D,10304,.00,+,
157,Tuesday Sep 25,boxscore,NYM,@,MLN,L,3,7,,39-117,10,60.5,Spahn,Hook,,2:24,N,3637,.00,-,
158,Wednesday Sep 26,boxscore,NYM,@,MLN,L,3,6,,39-118,10,61.5,Lemaster,Craig,,2:24,N,3239,.00,--,
159,Friday Sep 28,boxscore,NYM,@,CHC,L,2,3,,39-119,10,61.0,Toth,Cisco,Schultz,2:28,D,595,.00,---,
160,Saturday Sep 29,boxscore,NYM,@,CHC,W,2,1,,40-119,10,60.0,Miller,Ellsworth,,2:10,D,2870,.00,+,
161,Sunday Sep 30,boxscore,NYM,@,CHC,L,1,5,,40-120,10,60.0,Buhl,Hunter,,2:16,D,3960,.00,-,
